year,sex,race_cat,pop,total,prop
2017,Male,Black,10194,19667,0.51833
2017,Male,Latinx,101893,200869,0.50726
2017,Male,Multirace,13354,26606,0.50192
2017,Male,Native Hawaiian/Pacific Islander,5304,11047,0.48013
2017,Male,White,158732,318587,0.49824
2018,Female,American Indian/Alaskan Native,655,1290,0.50775
2018,Female,Asian,103440,195619,0.52878
2018,Female,Black,9491,19668,0.48256
2018,Female,Latinx,99512,201914,0.49284
2018,Female,Multirace,13497,27108,0.4979
2018,Female,Native Hawaiian/Pacific Islander,5785,11073,0.52244
2018,Female,White,159512,318150,0.50137
2018,Male,American Indian/Alaskan Native,635,1290,0.49225
2018,Male,Asian,92179,195619,0.47122000000000003
2018,Male,Black,10177,19668,0.51744
2018,Male,Latinx,102402,201914,0.50716
2018,Male,Multirace,13611,27108,0.5021
2018,Male,Native Hawaiian/Pacific Islander,5288,11073,0.47756
2018,Male,White,158638,318150,0.49863
2019,Female,American Indian/Alaskan Native,668,1302,0.51306
2019,Female,Asian,103580,195915,0.5287
2019,Female,Black,9486,19746,0.4804
2019,Female,Latinx,99966,202786,0.49296
2019,Female,Multirace,13694,27530,0.49742
2019,Female,Native Hawaiian/Pacific Islander,5811,11103,0.52337
2019,Female,White,159261,317620,0.50142
2019,Male,American Indian/Alaskan Native,634,1302,0.48694
2019,Male,Asian,92335,195915,0.4713
2019,Male,Black,10260,19746,0.5196
2019,Male,Latinx,102820,202786,0.50704
2019,Male,Multirace,13836,27530,0.50258
2019,Male,Native Hawaiian/Pacific Islander,5292,11103,0.47663
2019,Male,White,158359,317620,0.49858
2020,Female,American Indian/Alaskan Native,673,1311,0.51335
2020,Female,Asian,103585,195838,0.52893
2020,Female,Black,9411,19700,0.47772
2020,Female,Latinx,100234,203258,0.49314
2020,Female,Multirace,13853,27824,0.49788
2020,Female,Native Hawaiian/Pacific Islander,5811,11103,0.52337
2020,Female,White,158524,316098,0.5015
2020,Male,American Indian/Alaskan Native,638,1311,0.48665
2020,Male,Asian,92253,195838,0.47107
2020,Male,Black,10289,19700,0.52228
2020,Male,Latinx,103024,203258,0.50686
2020,Male,Multirace,13971,27824,0.50212
2020,Male,Native Hawaiian/Pacific Islander,5292,11103,0.47663
2020,Male,White,157574,316098,0.4985
2021,Female,American Indian/Alaskan Native,682,1319,0.51706
2021,Female,Asian,103634,195921,0.52896
2021,Female,Black,9441,19791,0.47704
2021,Female,Latinx,100603,203839,0.49354
2021,Female,Multirace,14013,28152,0.49776
2021,Female,Native Hawaiian/Pacific Islander,5828,11144,0.52297
2021,Female,White,157864,314824,0.50144
2021,Male,American Indian/Alaskan Native,637,1319,0.48294
2021,Male,Asian,92287,195921,0.47104
2021,Male,Black,10350,19791,0.52296
2021,Male,Latinx,103236,203839,0.50646
2021,Male,Multirace,14139,28152,0.50224
2021,Male,Native Hawaiian/Pacific Islander,5316,11144,0.47703
2021,Male,White,156960,314824,0.49856
2022,Female,American Indian/Alaskan Native,691,1347,0.51299
2022,Female,Asian,103902,196511,0.52873
2022,Female,Black,9498,19965,0.47573
2022,Female,Latinx,101271,205252,0.4934
2022,Female,Multirace,14200,28594,0.49661
2022,Female,Native Hawaiian/Pacific Islander,5844,11170,0.52319
2022,Female,White,157855,314796,0.50145
2022,Male,American Indian/Alaskan Native,656,1347,0.48701
2022,Male,Asian,92609,196511,0.47127
2022,Male,Black,10467,19965,0.52427
2022,Male,Latinx,103981,205252,0.5066
2022,Male,Multirace,14394,28594,0.50339
2022,Male,Native Hawaiian/Pacific Islander,5326,11170,0.47681
2022,Male,White,156941,314796,0.49855
2023,Female,American Indian/Alaskan Native,704,1364,0.51613
2023,Female,Asian,104254,197270,0.52848
2023,Female,Black,9565,20113,0.47556
2023,Female,Latinx,101955,206635,0.49341
2023,Female,Multirace,14371,29019,0.49523
2023,Female,Native Hawaiian/Pacific Islander,5872,11244,0.52223
2023,Female,White,157968,315005,0.50148
2023,Male,American Indian/Alaskan Native,660,1364,0.48387
2023,Male,Asian,93016,197270,0.47152
2023,Male,Black,10548,20113,0.52444
2023,Male,Latinx,104680,206635,0.50659
2023,Male,Multirace,14648,29019,0.50477
2023,Male,Native Hawaiian/Pacific Islander,5372,11244,0.47777
2023,Male,White,157037,315005,0.49852
2024,Female,American Indian/Alaskan Native,706,1362,0.51836
2024,Female,Asian,104684,198035,0.52861
2024,Female,Black,9596,20258,0.47369
2024,Female,Latinx,102687,208206,0.4932
2024,Female,Multirace,14584,29422,0.49568
2024,Female,Native Hawaiian/Pacific Islander,5912,11325,0.52203
2024,Female,White,158127,315201,0.50167
2024,Male,American Indian/Alaskan Native,656,1362,0.48164
2024,Male,Asian,93351,198035,0.47139
2024,Male,Black,10662,20258,0.52630999999999994
2024,Male,Latinx,105519,208206,0.5068
2024,Male,Multirace,14838,29422,0.50432
2024,Male,Native Hawaiian/Pacific Islander,5413,11325,0.47797
2024,Male,White,157074,315201,0.49833
2025,Female,American Indian/Alaskan Native,712,1391,0.51186
2025,Female,Asian,105066,198778,0.52856
2025,Female,Black,9661,20427,0.47295
2025,Female,Latinx,103437,209812,0.493
2025,Female,Multirace,14768,29839,0.49492
2025,Female,Native Hawaiian/Pacific Islander,5957,11390,0.523
2025,Female,White,158319,315524,0.50177
2025,Male,American Indian/Alaskan Native,679,1391,0.48814
2025,Male,Asian,93712,198778,0.47144
2025,Male,Black,10766,20427,0.52705
2025,Male,Latinx,106375,209812,0.507
2025,Male,Multirace,15071,29839,0.50508
2025,Male,Native Hawaiian/Pacific Islander,5433,11390,0.477
2025,Male,White,157205,315524,0.49823
2026,Female,American Indian/Alaskan Native,724,1395,0.519
2026,Female,Asian,105412,199466,0.52847
2026,Female,Black,9689,20531,0.47192
2026,Female,Latinx,104114,211245,0.49286
2026,Female,Multirace,15013,30271,0.49595
2026,Female,Native Hawaiian/Pacific Islander,5993,11443,0.52373
2026,Female,White,158575,315873,0.50202
2026,Male,American Indian/Alaskan Native,671,1395,0.481
2026,Male,Asian,94054,199466,0.47153
2026,Male,Black,10842,20531,0.52808
2026,Male,Latinx,107131,211245,0.50714
2026,Male,Multirace,15258,30271,0.50405
2026,Male,Native Hawaiian/Pacific Islander,5450,11443,0.47627
2026,Male,White,157298,315873,0.49798
2027,Female,American Indian/Alaskan Native,729,1416,0.51483
2027,Female,Asian,105761,200026,0.52874
2027,Female,Black,9721,20660,0.47052
2027,Female,Latinx,104859,212581,0.49327
2027,Female,Multirace,15233,30722,0.49583
2027,Female,Native Hawaiian/Pacific Islander,6029,11485,0.52495
2027,Female,White,158741,315999,0.50235
2027,Male,American Indian/Alaskan Native,687,1416,0.48517
2027,Male,Asian,94265,200026,0.47126
2027,Male,Black,10939,20660,0.52948
2027,Male,Latinx,107722,212581,0.50673
2027,Male,Multirace,15489,30722,0.50417
2027,Male,Native Hawaiian/Pacific Islander,5456,11485,0.47505
2027,Male,White,157258,315999,0.49765
2028,Female,American Indian/Alaskan Native,739,1429,0.51714
2028,Female,Asian,106089,200539,0.52902
2028,Female,Black,9745,20774,0.4691
2028,Female,Latinx,105561,213999,0.49328
2028,Female,Multirace,15442,31163,0.49552
2028,Female,Native Hawaiian/Pacific Islander,6039,11525,0.52399
2028,Female,White,158861,315993,0.50274
2028,Male,American Indian/Alaskan Native,690,1429,0.48286
2028,Male,Asian,94450,200539,0.47098
2028,Male,Black,11029,20774,0.5309
2028,Male,Latinx,108438,213999,0.50672
2028,Male,Multirace,15721,31163,0.50448
2028,Male,Native Hawaiian/Pacific Islander,5486,11525,0.47601
2028,Male,White,157132,315993,0.49726
2029,Female,American Indian/Alaskan Native,751,1453,0.51686
2029,Female,Asian,106323,201039,0.52887
2029,Female,Black,9787,20895,0.46839
2029,Female,Latinx,106259,215360,0.4934
2029,Female,Multirace,15640,31591,0.49508
2029,Female,Native Hawaiian/Pacific Islander,6062,11576,0.52367
2029,Female,White,158829,315970,0.50267
2029,Male,American Indian/Alaskan Native,702,1453,0.48314
2029,Male,Asian,94716,201039,0.47113
2029,Male,Black,11108,20895,0.53161
2029,Male,Latinx,109101,215360,0.5066
2029,Male,Multirace,15951,31591,0.50492
2029,Male,Native Hawaiian/Pacific Islander,5514,11576,0.47633
2029,Male,White,157141,315970,0.49733
2030,Female,American Indian/Alaskan Native,746,1455,0.51271
2030,Female,Asian,106389,201238,0.52867
2030,Female,Black,9819,21022,0.46708
2030,Female,Latinx,106922,216707,0.49339
2030,Female,Multirace,15884,32053,0.49555
2030,Female,Native Hawaiian/Pacific Islander,6091,11589,0.52558
2030,Female,White,158866,315942,0.50283
2030,Male,American Indian/Alaskan Native,709,1455,0.48729
2030,Male,Asian,94849,201238,0.47133
2030,Male,Black,11203,21022,0.53292
2030,Male,Latinx,109785,216707,0.50661
2030,Male,Multirace,16169,32053,0.50445
2030,Male,Native Hawaiian/Pacific Islander,5498,11589,0.47442
2030,Male,White,157076,315942,0.49717
2031,Female,American Indian/Alaskan Native,756,1471,0.51394
